dataset;horizon;model;MAE;MBE;RMSE;RMSE_p;skill;baseline
Test;10min;sp;1625,7156387222203;-11,253794199165975;2920,9632812162017;2920,9632812162017;0,0;sp
Test;10min;ols;2091,505330469461;74,96999094784832;3041,4987172174283;2920,9632812162017;-0,04126564574650837;sp
Test;10min;ridge;2093,3769460806307;69,31789045862817;3040,9642713833664;2920,9632812162017;-0,04108267671108812;sp
Test;10min;lasso;2100,256549303895;69,17843081844345;3042,0261750543855;2920,9632812162017;-0,041446222421452905;sp
Test;15min;sp;1864,3030431929565;-19,34874916758127;3209,2759753032656;3209,2759753032656;0,0;sp
Test;15min;ols;2103,6506927414976;51,51161487406756;3117,7401748650077;3209,2759753032656;0,02852225895892546;sp
Test;15min;ridge;2105,969403948225;46,41933444239768;3117,317453436364;3209,2759753032656;0,02865397758702004;sp
Test;15min;lasso;2107,2965823744157;46,22452835254142;3117,0698544336574;3209,2759753032656;0,02873112863436278;sp
Test;20min;sp;2030,1087777151245;-28,451216548849214;3372,37670914457;3372,37670914457;0,0;sp
Test;20min;ols;2011,4159038539747;34,12477170839433;3072,86242392995;3372,37670914457;0,088814005980546;sp
Test;20min;ridge;2013,1015377516976;31,100938859630254;3072,6937457361337;3372,37670914457;0,08886402358188905;sp
Test;20min;lasso;2017,211910127727;29,84377064083232;3073,283968735404;3372,37670914457;0,08868900665757284;sp
Test;25min;sp;2160,1320685290307;-37,36379759434756;3503,1418798505365;3503,1418798505365;0,0;sp
Test;25min;ols;1822,4010591918836;30,62233818946873;2903,838314523466;3503,1418798505365;0,171076018580395;sp
Test;25min;ridge;1823,8464411111627;28,399571375231094;2903,7569098778467;3503,1418798505365;0,17109925619063504;sp
Test;25min;lasso;1826,8276904091067;27,460078081870023;2905,499850202277;3503,1418798505365;0,1706017198691817;sp
Test;30min;sp;2250,4761391668353;-50,704864674729876;3590,977220437486;3590,977220437486;0,0;sp
Test;30min;ols;1417,0792560715417;32,29652732863302;2438,9695019241412;3590,977220437486;0,3208061894564167;sp
Test;30min;ridge;1418,0933848191091;31,009373514568146;2438,8704801398585;3590,977220437486;0,32083376462000146;sp
Test;30min;lasso;1419,3169457776958;30,468242088388934;2441,719566873993;3590,977220437486;0,32004036311416084;sp
Test;5min;sp;1177,1904139324886;-4,240573436984348;2270,7673272198253;2270,7673272198253;0,0;sp
Test;5min;ols;1954,1100431481686;102,86867455396215;2774,081644780899;2270,7673272198253;-0,2216494448937214;sp
Test;5min;ridge;1955,4981165266806;96,07660120217835;2773,722140728519;2270,7673272198253;-0,2214911265807571;sp
Test;5min;lasso;1955,324895863547;96,27775854893856;2774,8263019875667;2270,7673272198253;-0,22197737686532482;sp
