dataset;horizon;model;MAE;MBE;RMSE;RMSE_p;skill;baseline
Test;10min;sp;1625,7156387222203;-11,253794199165975;2920,9632812162017;2920,9632812162017;0,0;sp
Test;10min;ols;2091,3369303206464;49,11777310815199;3001,175104899419;2920,9632812162017;-0,027460743583815006;sp
Test;10min;ridge;2090,808859375967;48,357635277763535;3000,8041037309604;2920,9632812162017;-0,02733373028965813;sp
Test;10min;lasso;2082,2396058013305;42,659467276585254;2997,3273548430257;2920,9632812162017;-0,026143455523010894;sp
Test;15min;sp;1864,3030431929565;-19,34874916758127;3209,2759753032656;3209,2759753032656;0,0;sp
Test;15min;ols;2092,0262305651368;31,412441329135934;3088,7831907575696;3209,2759753032656;0,037545161423616635;sp
Test;15min;ridge;2091,659424543463;30,697050235629607;3088,314347233678;3209,2759753032656;0,03769125154721453;sp
Test;15min;lasso;2090,6927970029355;22,830941332461123;3085,7138453776643;3209,2759753032656;0,03850155950328493;sp
Test;20min;sp;2030,1087777151245;-28,451216548849214;3372,37670914457;3372,37670914457;0,0;sp
Test;20min;ols;1997,5515330905964;19,719019733176086;3049,66530653416;3372,37670914457;0,09569257246242469;sp
Test;20min;ridge;1997,5432935203505;18,90023617546493;3049,4451965070425;3372,37670914457;0,09575784097958673;sp
Test;20min;lasso;1998,8052011210616;12,58774592523786;3047,3896449150616;3372,37670914457;0,0963673670703129;sp
Test;25min;sp;2160,1320685290307;-37,36379759434756;3503,1418798505365;3503,1418798505365;0,0;sp
Test;25min;ols;1815,9815940452418;19,35546060945101;2887,2190869810515;3503,1418798505365;0,17582011063045033;sp
Test;25min;ridge;1816,303469221283;18,942785306589528;2887,0259350016486;3503,1418798505365;0,1758752474150932;sp
Test;25min;lasso;1817,5061268484112;14,965684374168397;2886,035473906347;3503,1418798505365;0,17615798249385173;sp
Test;30min;sp;2250,4761391668353;-50,704864674729876;3590,977220437486;3590,977220437486;0,0;sp
Test;30min;ols;1420,7072509795305;26,538455653203474;2431,034906802174;3590,977220437486;0,323015781618909;sp
Test;30min;ridge;1421,0693412401922;26,203596263308096;2430,8734606877056;3590,977220437486;0,3230607404433621;sp
Test;30min;lasso;1420,5691024223481;25,55616965449798;2431,9512578271406;3590,977220437486;0,32276060009902874;sp
Test;5min;sp;1177,1904139324886;-4,240573436984348;2270,7673272198253;2270,7673272198253;0,0;sp
Test;5min;ols;1935,1535097115345;74,78197937086598;2662,7926091730283;2270,7673272198253;-0,17264000466008644;sp
Test;5min;ridge;1934,6711191477273;73,55029213791326;2663,512437778502;2270,7673272198253;-0,17295700261793323;sp
Test;5min;lasso;1933,2140325974267;73,92744517945268;2662,633116361935;2270,7673272198253;-0,17256976725214912;sp
